date,category,repeatable,repeatable_year_period,event
2020-01-25,ID,F,,Tahun Baru Imlek
2020-03-22,ID,F,,Hari Isra Mi'raj
2020-03-25,ID,F,,Hari Nyepi
2020-04-10,ID,F,,Jumat Agung
2020-05-7,ID,F,,Hari Waisak
2020-05-21,ID,F,,Kenaikan Isa Almasih
2020-05-22,ID,F,,Cuti Bersama Kenaikan Isa Almasih
2020-05-24,ID,F,,Hari Raya Idul Fitri
2020-05-25,ID,F,,Hari Raya Idul Fitri
2020-07-31,ID,F,,Hari Raya Idul Adha
2020-08-20,ID,F,,Tahun Baru Islam
2020-08-21,ID,F,,Cuti Bersama Tahun Baru Islam
2020-10-28,ID,F,,Cuti Bersama Maulid Nabi Muhammad SAW
2020-10-29,ID,F,,Maulid Nabi Muhammad SAW
2020-10-30,ID,F,,Cuti Bersama Maulid Nabi Muhammad SAW
2020-12-24,ID,F,,Cuti Bersama Hari Natal
2020-12-28,ID,F,,Cuti Bersama Hari Natal
2020-12-29,ID,F,,Cuti Bersama Hari Natal
2020-12-30,ID,F,,Cuti Bersama Hari Natal
2020-12-31,ID,F,,Cuti Bersama Hari Natal